"TIME","GEO","N_PERSON","Value"
"2012","Euro area - 19 countries  (from 2015)","2 persons","31.3"
"2012","Euro area - 19 countries  (from 2015)","3 persons","16.6"
"2012","Euro area - 19 countries  (from 2015)","4 persons","14.3"
"2012","Euro area - 19 countries  (from 2015)","5 persons","3.8"
"2012","Euro area - 19 countries  (from 2015)","6 persons or more","1.4"
"2012","Euro area - 18 countries (2014)","1 person","32.7"
"2012","Euro area - 18 countries (2014)","2 persons","31.4"
"2012","Euro area - 18 countries (2014)","3 persons","16.6"
"2012","Euro area - 18 countries (2014)","4 persons","14.3"
"2012","Euro area - 18 countries (2014)","5 persons","3.8"
"2012","Euro area - 18 countries (2014)","6 persons or more","1.4"
"2012","Belgium","1 person","34.7"
"2012","Belgium","2 persons","31.4"
"2012","Belgium","3 persons","14.6"
"2012","Belgium","4 persons","11.9"
"2012","Belgium","5 persons","5.4"
